City,Source URL
Richmond,https://www.ci.richmond.ca.us/1404/Major-Projects
bakersfield,https://www.bakersfieldcity.us/518/Projects-Programs
wasco,https://www.cityofwasco.org/311/Current-Projects
eureka,https://www.eurekaca.gov/744/Upcoming-Projects
Arcata,https://www.cityofarcata.org/413/Current-City-Construction-Projects
Mckinleyville,https://www.mckinleyvillecsd.com/news-and-project-updates
sanrafael,https://www.cityofsanrafael.org/major-planning-projects-2/
novato,https://www.novato.org/government/community-development/planning-division/planning-projects?locale=en
Millivalley,https://www.cityofmillvalley.org/258/Projects
Riverside,https://riversideca.gov/utilities/projects
moreno,https://www.moval.org/cdd/documents/about-projects.html
Corona,https://www.coronaca.gov/government/departments-divisions/department-of-water-and-power/construction
sacramento,http://www.cityofsacramento.org/public-works/engineering-services/projects
citrus heights,https://www.citrusheights.net/292/Current-Projects
elk grove,https://www.elkgrovecity.org/southeast-policy-area/development-projects
San Bernardino,https://www.sbcity.org/city_hall/community_economic_development/development_projects
Fontana,https://www.fontanaca.gov/765/Current-Projects
Ontario,https://www.ontarioca.gov/Planning/CurrentPlanning
Chula Vista,https://www.chulavistaca.gov/departments/development-services/city-projects
OceanSide,https://www.ci.oceanside.ca.us/government/development-services/engineering/capital-improvement-program/current-projects
san luis obispo,https://www.slocity.org/government/department-directory/parks-and-recreation/current-projects
paso robles,https://www.prcity.com/363/City-Projects
atascadero,https://www.atascadero.org/index.php?option=com_content&view=article&id=652&Itemid=1723
sanmateo,https://www.cityofsanmateo.org/1176/Whats-Happening-in-Development
daily city,https://www.dalycity.org/362/Current-Project-List
lompoc,https://www.cityoflompoc.com/government/departments/economic-community-development/planning-division/major-project-updates
santa maria,https://www.santamariagroup.com/projects
santa clara,https://www.santaclaraca.gov/business-development/development-projects/projects-listing
vacaville,https://www.ci.vacaville.ca.us/government/community-development/major-development-projects?locale=en
vallejo,https://www.cityofvallejo.net/our_city/departments_divisions/planning_development_services/economic_development_department/development_projects
fair field,https://www.fairfield.ca.gov/government/city-departments/communitydevelopment/planning-division/development-activity?locale=en
fair field,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects
Rohnert Park,https://www.rpcity.org/city_hall/departments/development_services/engineering/projects_in_progress
santa rose,https://www.srcity.org/3212/Current-Projects
petaluma,https://cityofpetaluma.org/planning-projects/
thousand oaks,https://www.toaks.org/departments/public-works/construction
simivalley,https://www.simivalley.org/departments/public-works/public-works-engineering/capital-projects/current-capital-projects
shoreline,https://www.shorelinewa.gov/government/projects-initiativess
